Concept2 Utility - Version 6.53


Log Data for:;David
;;;;;Total Workout Results;;;;Split or Work Interval Results;;;;Results Calculated by Formulas;;;Interval Rest Results
;Name;Date;Time of Day;Workout Name;Time;Meters;Avg SPM;Avg Heart Rate;Time;Meters;SPM;Heart Rate;/500m;Cal/hr;Watt;Time;Meters;Heart Rate

;David;14/01/13;18:29;8x5:00/2:30r;40:00.0;8942;23;173;;;;;02:14.1;798;145
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1040;21;153;02:24.2;701;117
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1156;22;175;02:09.7;851;160
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1222;24;182;02:02.7;951;189
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1111;24;176;02:15.0;789;142
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1141;24;180;02:11.4;830;154
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1077;24;172;02:19.2;745;130
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1103;25;176;02:15.9;778;139
;David;14/01/13;18:29;8x5:00/2:30r;;;;;05:00.0;1092;24;175;02:17.3;764;135
;David;14/01/13;18:29;8x5:00/2:30r;;;;;;;;;;;;;117

;David;10/01/13;19:00;0:02:17;02:17.5;404;20;156;;;;;02:50.1;544;71
;David;10/01/13;19:00;0:02:17;;;;;02:17.5;405;19;156;02:49.7;546;72

;David;10/01/13;18:56;4x8:00/3:00r;32:00.0;7064;24;177;;;;;02:15.9;779;139
;David;10/01/13;18:56;4x8:00/3:00r;;;;;08:00.0;1760;24;176;02:16.3;775;138
;David;10/01/13;18:56;4x8:00/3:00r;;;;;08:00.0;1739;24;176;02:18.0;758;133
;David;10/01/13;18:56;4x8:00/3:00r;;;;;08:00.0;1708;24;175;02:20.5;734;126
;David;10/01/13;18:56;4x8:00/3:00r;;;;;08:00.0;1858;24;183;02:09.1;858;162
;David;10/01/13;18:56;4x8:00/3:00r;;;;;;;;;;;;;85

;David;10/01/13;18:12;0:11:27;11:27.9;2537;23;166;;;;;02:15.5;783;140
;David;10/01/13;18:12;0:11:27;;;;;05:00.0;1067;21;156;02:20.5;733;126
;David;10/01/13;18:12;0:11:27;;;;;10:00.0;1143;24;172;02:11.2;832;155
;David;10/01/13;18:12;0:11:27;;;;;11:27.9;327;24;172;02:14.4;796;144

;David;10/01/13;17:52;0:05:04;05:04.7;1013;20;142;;;;;02:30.3;654;103
;David;10/01/13;17:52;0:05:04;;;;;05:00.0;999;20;140;02:30.1;655;103
;David;10/01/13;17:52;0:05:04;;;;;05:04.7;15;0;144;02:36.6;613;91

;David;09/01/13;17:43;0:30:00;30:00.0;6231;20;160;;;;;02:24.4;699;116
;David;09/01/13;17:43;0:30:00;;;;;06:00.0;1230;20;150;02:26.3;684;112
;David;09/01/13;17:43;0:30:00;;;;;12:00.0;1238;20;158;02:25.3;691;114
;David;09/01/13;17:43;0:30:00;;;;;18:00.0;1258;21;163;02:23.0;711;119
;David;09/01/13;17:43;0:30:00;;;;;24:00.0;1248;20;167;02:24.2;701;117
;David;09/01/13;17:43;0:30:00;;;;;30:00.0;1258;21;165;02:23.0;711;119

;David;07/01/13;18:26;5x8:00/4:00r;40:00.0;8747;22;175;;;;;02:17.1;766;136
;David;07/01/13;18:26;5x8:00/4:00r;;;;;08:00.0;1639;21;164;02:26.4;683;111
;David;07/01/13;18:26;5x8:00/4:00r;;;;;08:00.0;1815;22;180;02:12.2;820;151
;David;07/01/13;18:26;5x8:00/4:00r;;;;;08:00.0;1724;23;175;02:19.2;746;130
